index,dataset_name,display_name,reverse,reverse_bool,split,shape,phenotype,cleaned_phenotype,screen_rationale,screen_type,screen_category,library_methodology,cell_type,cell_line,num_genes,publication_year,author,source_id,umap_x_ground_truth,umap_y_ground_truth,umap_x_ground_truth_train_fitted,umap_y_ground_truth_train_fitted
15,73,73 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Acute Myeloid Leukemia Cell Line,OCI-AML-2,18580,2017,Wang T (2017),28162770,4.6901373863220215,-0.2262401580810547,8.309235572814941,7.736257553100586
16,74,74 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Acute Myeloid Leukemia Cell Line,OCI-AML-3,18580,2017,Wang T (2017),28162770,4.545929431915283,-0.19754542410373688,8.35046100616455,7.91515588760376
17,75,75 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Acute Myeloid Leukemia Cell Line,OCI-AML-5,18580,2017,Wang T (2017),28162770,4.567786693572998,-0.13886131346225739,8.326781272888184,7.867643356323242
18,76,76 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Lymphoma or Leukaemia Cell Line,P31/FUJ,18580,2017,Wang T (2017),28162770,4.518208026885986,-0.1345188021659851,8.275196075439453,7.880608558654785
19,77,77 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Lymphoma or Leukaemia Cell Line,PL-21,18580,2017,Wang T (2017),28162770,4.592902183532715,-0.14290867745876312,8.401409149169922,7.839954376220703
20,78,78 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Lymphoma or Leukaemia Cell Line,SKM-1,18580,2017,Wang T (2017),28162770,4.614733695983887,-0.15302850306034088,8.386102676391602,7.931591987609863
21,79,79 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Erythroleukemia Cell Line,TF-1,18580,2017,Wang T (2017),28162770,4.4756693840026855,-0.00958350021392107,8.318801879882812,8.200377464294434
22,80,80 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Monocytic Leukemia Cell Line,THP-1,18580,2017,Wang T (2017),28162770,4.498932361602783,-0.28955599665641785,8.515936851501465,7.767273426055908
23,85,85 (forward),Forward,False,Train,circle,increases drug resistance as measured by increased cell proliferation in response to the chemical,Drug / Chemical / Environmental Response,Increased drug resistance,Positive Selection,unidirectional,Knockout,Lung Cancer Cell Line,HCC364,19684,2017,Krall EB (2017),28145866,6.2913970947265625,2.91585373878479,11.833924293518066,9.942493438720703
24,100,100 (forward),Forward,False,Train,circle,increases drug resistance as measured by increased cell proliferation,Drug / Chemical / Environmental Response,Increased drug resistance,Positive Selection,unidirectional,Knockout,Lung Cancer Cell Line,Calu-1,19498,2017,Krall EB (2017),28145866,6.068056583404541,3.602471351623535,11.774353981018066,9.880672454833984
25,101,101 (forward),Forward,False,Train,circle,increases drug resistance as measured by increased cell proliferation,Drug / Chemical / Environmental Response,Increased drug resistance,Positive Selection,unidirectional,Knockout,Lung Cancer Cell Line,NCI-H1299,19944,2017,Krall EB (2017),28145866,4.988296031951904,4.383676528930664,10.955368041992188,10.879441261291504
26,102,102 (forward),Forward,False,Train,circle,increases drug resistance as measured by increased cell proliferation,Drug / Chemical / Environmental Response,Increased drug resistance,Positive Selection,unidirectional,Knockout,Lung Cancer Cell Line,HCC364,19753,2017,Krall EB (2017),28145866,6.323124408721924,3.0538647174835205,11.722835540771484,10.022077560424805
27,103,103 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Chronic Myeloid Leukemia Cell Line,KBM-7,7100,2014,Wang T (2014),24336569,4.472347259521484,-0.24917246401309967,8.228519439697266,7.848260402679443
28,104,104 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Acute Myeloid Leukemia Cell Line,HL-60,7100,2014,Wang T (2014),24336569,4.315168380737305,-0.5626563429832458,8.075617790222168,7.85076379776001
29,141,141 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Pancreatic Adenocarcinoma Cell Line,HPAF-II,17179,2017,Steinhart Z (2017),27869803,3.2038824558258057,-1.3244091272354126,6.66498327255249,8.049985885620117
30,142,142 (forward),Forward,False,Train,circle,decreases cell proliferation (cell fitness),Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Pancreatic Adenocarcinoma Cell Line,PaTu 8988s,17179,2017,Steinhart Z (2017),27869803,3.164808511734009,-1.363174557685852,6.66129207611084,8.025999069213867
31,143,143 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Pancreatic Adenocarcinoma Cell Line,AsPC-1,17179,2017,Steinhart Z (2017),27869803,3.1205811500549316,-1.4381920099258423,6.51654052734375,8.07030963897705
32,149,149 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Chronic Myeloid Leukemia Cell Line,KBM-7,18110,2015,Wang T (2015),26472758,4.530129432678223,-0.13998709619045258,8.274959564208984,7.847532272338867
33,150,150 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Chronic Myeloid Leukemia Cell Line,K-562,18110,2015,Wang T (2015),26472758,4.582369327545166,-0.17147566378116608,8.285846710205078,7.832647323608398
34,151,151 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Burkitt Lymphoma Cell Line,Jiyoye,18110,2015,Wang T (2015),26472758,4.5321550369262695,-0.0943969115614891,8.328432083129883,7.892629146575928
35,152,152 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Burkitt Lymphoma Cell Line,Raji,18110,2015,Wang T (2015),26472758,4.487536430358887,-0.03364882990717888,8.398200988769531,7.922734260559082
36,153,153 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Pre-B Acute Lymphoblastic Leukemia Cell Line,NALM-6,18825,2017,Bertomeu T (2017),29038160,4.37539529800415,0.13860338926315308,8.261102676391602,8.189643859863281
37,154,154 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Colonic Adenocarcinoma Cell Line,HT-29,17966,2016,Tzelepis K (2016),27760321,-0.5329473614692688,-0.9755007028579712,7.971339702606201,3.7193801403045654
38,155,155 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Acute Myeloid Leukemia Cell Line,HL-60,17966,2016,Tzelepis K (2016),27760321,-0.5787584781646729,-0.9817780256271362,7.9165215492248535,3.8024966716766357
39,156,156 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Fibrosarcoma Cell Line,HT-1080,17966,2016,Tzelepis K (2016),27760321,-0.6438974142074585,-0.9404409527778625,7.95625638961792,3.6282284259796143
40,172,172 (forward),Forward,False,Train,circle,decreases BMP-2 signaling pathway activity as measured by decreased reporter expression,Molecular Output / Reporter / Pathway Activity,Positive regulators of BMP-2 signaling pathway,Phenotype Screen,unidirectional,Knockout,Embryonic Kidney Cell Line,HEK-293,18568,2017,Riba A (2017),28215525,5.101572513580322,4.4713053703308105,10.868326187133789,10.574936866760254
41,173,173 (forward),Forward,False,Train,circle,increases BMP-2 signaling activity as measured by increased reporter expression,Molecular Output / Reporter / Pathway Activity,Negative regulators of BMP-2 signaling pathway,Phenotype Screen,unidirectional,Knockout,Embryonic Kidney Cell Line,HEK-293,18568,2017,Riba A (2017),28215525,4.941192626953125,4.4810991287231445,10.621252059936523,10.71342658996582
42,174,174 (forward),Forward,False,Train,circle,decreases NFkB signaling as measured by reduced reporter expression,Molecular Output / Reporter / Pathway Activity,Positive regulators of NFkB signaling pathway,Phenotype Screen,unidirectional,Knockout,Embryonic Kidney Cell Line,HEK-293,18569,2017,Riba A (2017),28215525,5.236880779266357,2.8676719665527344,10.431499481201172,10.643827438354492
43,175,175 (forward),Forward,False,Train,circle,increases NFkB signaling activity as measured by increased NFkB reporter expression,Molecular Output / Reporter / Pathway Activity,Negative regulators of NFkB signaling pathway,Phenotype Screen,unidirectional,Knockout,Embryonic Kidney Cell Line,HEK-293,18569,2017,Riba A (2017),28215525,4.729153633117676,4.142542362213135,10.539674758911133,10.6373872756958
44,176,176 (forward),Forward,False,Train,circle,decreases NFkB signaling activity as measured by reporter expression,Molecular Output / Reporter / Pathway Activity,Positive regulators of NFkB signaling pathway,Phenotype Screen,unidirectional,Knockout,Embryonic Kidney Cell Line,HEK-293,18569,2017,Riba A (2017),28215525,5.247879981994629,2.893688201904297,10.487345695495605,10.491764068603516
45,177,177 (forward),Forward,False,Train,circle,increases NFkB signaling activity as measured by increased NFkB reporter expression,Molecular Output / Reporter / Pathway Activity,Negative regulators of NFkB signaling pathway,Phenotype Screen,unidirectional,Knockout,Embryonic Kidney Cell Line,HEK-293,18569,2017,Riba A (2017),28215525,4.76849889755249,4.08862829208374,10.577710151672363,10.694754600524902
46,179,179 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Osteosarcoma Cell Line,143B,17635,2017,Meyers RM (2017),29083409,4.039358139038086,-5.246973037719727,1.0516811609268188,7.887054443359375
47,180,180 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Urinary Bladder Cancer Cell Line,5637,17635,2017,Meyers RM (2017),29083409,3.75430965423584,-5.054105281829834,1.4101284742355347,7.985448837280273
48,181,181 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Anaplastic Thyroid Cancer Cell Line,8305C,17635,2017,Meyers RM (2017),29083409,3.286040782928467,-5.615816593170166,1.7876582145690918,7.0565690994262695
49,184,184 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Melanoma Cell Line,A2058,17635,2017,Meyers RM (2017),29083409,3.5828702449798584,-5.081944942474365,1.3339587450027466,7.914700984954834
50,185,185 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Ovarian Cancer Cell Line,A2780,17635,2017,Meyers RM (2017),29083409,4.3013105392456055,-5.040383815765381,0.8124982118606567,8.299971580505371
51,186,186 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Lung Cancer Cell Line,A-549,17635,2017,Meyers RM (2017),29083409,4.047535419464111,-5.061676979064941,1.254489541053772,8.104141235351562
52,187,187 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Gastric Adenocarcinoma Cell Line,AGS,17635,2017,Meyers RM (2017),29083409,3.5679819583892822,-4.761007785797119,1.7795642614364624,8.304849624633789
53,188,188 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Breast Cancer Cell Line,AU565,17635,2017,Meyers RM (2017),29083409,3.6737284660339355,-4.440207004547119,2.175433397293091,8.642822265625
54,189,189 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Oral Squamous Cell Carcinoma Cell Line,BHY,17635,2017,Meyers RM (2017),29083409,3.249903440475464,-5.190700054168701,1.6082241535186768,7.5769147872924805
55,190,190 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Tongue Cancer Cell Line,CAL-27,17635,2017,Meyers RM (2017),29083409,3.4752907752990723,-5.135564804077148,1.6730877161026,7.828027248382568
56,191,191 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Ovarian Cancer Cell Line,Caov-3,17635,2017,Meyers RM (2017),29083409,3.1158688068389893,-5.212788105010986,2.0287063121795654,7.784306049346924
57,192,192 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Glioblastoma Cell Line,YKG-1,17635,2017,Meyers RM (2017),29083409,4.129523277282715,-5.4544477462768555,0.7394207119941711,7.829514503479004
58,193,193 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Cancer Cell Line,YAPC,17635,2017,Meyers RM (2017),29083409,3.8757736682891846,-5.336881160736084,1.547415018081665,7.888283729553223
59,194,194 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Melanoma Cell Line,WM793,17635,2017,Meyers RM (2017),29083409,3.513674736022949,-4.552222728729248,2.2341811656951904,7.195155620574951
60,195,195 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Melanoma Cell Line,WM266-4,17635,2017,Meyers RM (2017),29083409,3.6789562702178955,-4.38063907623291,1.7733861207962036,8.533894538879395
61,196,196 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Melanoma Cell Line,WM115,17635,2017,Meyers RM (2017),29083409,3.2444348335266113,-4.261657238006592,2.6734883785247803,7.396634101867676
62,197,197 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Melanoma Cell Line,UACC-62,17635,2017,Meyers RM (2017),29083409,3.2183854579925537,-4.34330415725708,2.5148022174835205,7.093045711517334
63,198,198 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Melanoma Cell Line,UACC-257,17635,2017,Meyers RM (2017),29083409,3.6238105297088623,-4.482275009155273,1.7678555250167847,8.329483985900879
64,199,199 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Lymphoma Cell Line,U-937,17635,2017,Meyers RM (2017),29083409,3.0692403316497803,-3.857027530670166,3.1437489986419678,8.51227855682373
65,200,200 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Glioblastoma Cell Line,U-87MG ATCC,17635,2017,Meyers RM (2017),29083409,3.1701159477233887,-5.060601234436035,2.134425640106201,7.332510948181152
66,201,201 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Glioma Cell Line,U-343MGa,17635,2017,Meyers RM (2017),29083409,3.419527053833008,-5.249951362609863,1.427736759185791,7.4524617195129395
67,202,202 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Osteosarcoma Cell Line,U2OS,17635,2017,Meyers RM (2017),29083409,3.6197423934936523,-5.451313018798828,1.5027698278427124,7.855151176452637
68,203,203 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Glioma Cell Line,U-251MG,17635,2017,Meyers RM (2017),29083409,4.010525703430176,-5.445727825164795,0.8580242395401001,7.861177921295166
69,204,204 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Renal Cell Carcinoma Cell Line,TUHR4TKB,17635,2017,Meyers RM (2017),29083409,2.6042184829711914,-4.839712619781494,2.9370675086975098,7.676923751831055
70,205,205 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Renal Cell Carcinoma Cell Line,TUHR10TKB,17635,2017,Meyers RM (2017),29083409,2.5373620986938477,-4.741857051849365,3.0516579151153564,7.747721195220947
71,206,206 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Monocytic Leukemia Cell Line,THP-1,17635,2017,Meyers RM (2017),29083409,3.16833758354187,-4.171802520751953,2.7558181285858154,8.48408317565918
72,207,207 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Glioblastoma Cell Line,8-MG-BA,17635,2017,Meyers RM (2017),29083409,3.1333980560302734,-5.634160041809082,1.6260266304016113,7.09062385559082
73,208,208 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Glioblastoma Cell Line,42-MG-BA,17635,2017,Meyers RM (2017),29083409,2.6678855419158936,-4.660487651824951,2.753225326538086,7.735621452331543
74,209,209 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Ovarian Cancer Cell Line,59M,17635,2017,Meyers RM (2017),29083409,3.2709054946899414,-5.649865627288818,1.4948118925094604,7.177147388458252
75,210,210 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Cancer Cell Line,639V,17635,2017,Meyers RM (2017),29083409,3.81593656539917,-4.767439842224121,1.328697681427002,8.429256439208984
76,211,211 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Cancer Cell Line,647V,17635,2017,Meyers RM (2017),29083409,3.8648393154144287,-4.646939277648926,1.454973816871643,8.491209983825684
77,212,212 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Cancer Cell Line,769-P,17635,2017,Meyers RM (2017),29083409,3.3214426040649414,-4.981475830078125,1.83102548122406,7.49652624130249
78,213,213 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Renal Cell Carcinoma Cell Line,786-O,17635,2017,Meyers RM (2017),29083409,3.274691343307495,-5.1020188331604,1.9787851572036743,7.639969825744629
79,214,214 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Lung Cancer Cell Line,ABC-1,17635,2017,Meyers RM (2017),29083409,4.12175178527832,-4.904404640197754,1.1513925790786743,8.13469409942627
80,215,215 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Pancreatic Adenocarcinoma Cell Line,AsPC-1,17635,2017,Meyers RM (2017),29083409,3.179358959197998,-4.655642986297607,2.2345974445343018,8.198636054992676
81,216,216 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Urinary Bladder Cancer Cell Line,BC-3C,17635,2017,Meyers RM (2017),29083409,3.498974323272705,-5.292049884796143,1.4186869859695435,7.7316975593566895
82,217,217 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Cancer Cell Line,BFTC-905,17635,2017,Meyers RM (2017),29083409,4.016444683074951,-5.047988414764404,1.1871337890625,8.01870059967041
83,218,218 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Cancer Cell Line,BFTC-909,17635,2017,Meyers RM (2017),29083409,3.125258207321167,-5.408669948577881,1.789365291595459,7.239822864532471
84,219,219 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Cancer Cell Line,BICR 22,17635,2017,Meyers RM (2017),29083409,3.1339967250823975,-5.171435832977295,2.045987129211426,7.859643936157227
85,220,220 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Mammary Gland Tumor Cell Line,BT-549,17635,2017,Meyers RM (2017),29083409,4.004328727722168,-5.092511177062988,1.14011812210083,8.148541450500488
86,221,221 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Pancreatic Ductal Adenocarcinoma Cell Line,CFPAC-1,17635,2017,Meyers RM (2017),29083409,3.9310410022735596,-5.527724742889404,1.0493532419204712,7.7169389724731445
87,222,222 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Breast Cancer Cell Line,ZR-75-1,17637,2017,Meyers RM (2017),29083409,3.5702762603759766,-4.523425102233887,2.113947629928589,8.428667068481445
88,223,223 (forward),Forward,False,Train,circle,decreases cell proliferation,Fitness / Proliferation / Viability,Cell-essential genes,Negative Selection,unidirectional,Knockout,Melanoma Cell Line,WM983B,17637,2017,Meyers RM (2017),29083409,3.2514536380767822,-4.27034854888916,2.691432476043701,7.316717147827148
