,dataset_name,phenotype,cleaned_phenotype,condition_clause,cell_type,cell_line,screen_type,library_methodology,screen_category,num_genes,author,source_id,split,n_hits,n_pos,n_neg,cluster,name
18,76,decreases cell proliferation,Fitness / Proliferation / Viability,,Lymphoma or Leukaemia Cell Line,P31/FUJ,Negative Selection,Knockout,unidirectional,18580,Wang T (2017),28162770,train,2303,2303,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
19,77,decreases cell proliferation,Fitness / Proliferation / Viability,,Lymphoma or Leukaemia Cell Line,PL-21,Negative Selection,Knockout,unidirectional,18580,Wang T (2017),28162770,train,2034,2034,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
20,78,decreases cell proliferation,Fitness / Proliferation / Viability,,Lymphoma or Leukaemia Cell Line,SKM-1,Negative Selection,Knockout,unidirectional,18580,Wang T (2017),28162770,train,2102,2102,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
21,79,decreases cell proliferation,Fitness / Proliferation / Viability,,Erythroleukemia Cell Line,TF-1,Negative Selection,Knockout,unidirectional,18580,Wang T (2017),28162770,train,3478,3478,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
22,80,decreases cell proliferation,Fitness / Proliferation / Viability,,Monocytic Leukemia Cell Line,THP-1,Negative Selection,Knockout,unidirectional,18580,Wang T (2017),28162770,train,2811,2811,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
23,85,increases drug resistance as measured by increased cell proliferation in response to the chemical,Drug / Chemical / Environmental Response, under Trametinib treatment (24 nM),Lung Cancer Cell Line,HCC364,Positive Selection,Knockout,unidirectional,19684,Krall EB (2017),28145866,train,40,40,0,3,"Drug/Chemical response · Retinal Pigment Epithelium · PDCD10, NF2, TAOK1"
24,100,increases drug resistance as measured by increased cell proliferation,Drug / Chemical / Environmental Response, under Trametinib treatment (50 nM),Lung Cancer Cell Line,Calu-1,Positive Selection,Knockout,unidirectional,19498,Krall EB (2017),28145866,train,84,84,0,3,"Drug/Chemical response · Retinal Pigment Epithelium · PDCD10, NF2, TAOK1"
25,101,increases drug resistance as measured by increased cell proliferation,Drug / Chemical / Environmental Response, under Trametinib treatment (1.5 µM),Lung Cancer Cell Line,NCI-H1299,Positive Selection,Knockout,unidirectional,19944,Krall EB (2017),28145866,train,10,10,0,4,"Drug/Chemical response · Chronic Myelogenous Leukemia · FBXW7, STUB1, RNF7"
26,102,increases drug resistance as measured by increased cell proliferation,Drug / Chemical / Environmental Response, under Vemurafenib treatment (6.25 µM),Lung Cancer Cell Line,HCC364,Positive Selection,Knockout,unidirectional,19753,Krall EB (2017),28145866,train,14,14,0,3,"Drug/Chemical response · Retinal Pigment Epithelium · PDCD10, NF2, TAOK1"
27,103,decreases cell proliferation,Fitness / Proliferation / Viability,,Chronic Myeloid Leukemia Cell Line,KBM-7,Negative Selection,Knockout,unidirectional,7100,Wang T (2014),24336569,train,321,321,0,14,"Fitness/Viability · Oral Squamous Cell Carcinoma · TUBB4B, LAS1L, PGK1"
28,104,decreases cell proliferation,Fitness / Proliferation / Viability,,Acute Myeloid Leukemia Cell Line,HL-60,Negative Selection,Knockout,unidirectional,7100,Wang T (2014),24336569,train,59,59,0,14,"Fitness/Viability · Oral Squamous Cell Carcinoma · TUBB4B, LAS1L, PGK1"
29,141,decreases cell proliferation,Fitness / Proliferation / Viability,,Pancreatic Adenocarcinoma Cell Line,HPAF-II,Negative Selection,Knockout,unidirectional,17179,Steinhart Z (2017),27869803,train,2172,2172,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
30,142,decreases cell proliferation (cell fitness),Fitness / Proliferation / Viability,,Pancreatic Adenocarcinoma Cell Line,PaTu 8988s,Negative Selection,Knockout,unidirectional,17179,Steinhart Z (2017),27869803,train,2070,2070,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
31,143,decreases cell proliferation,Fitness / Proliferation / Viability,,Pancreatic Adenocarcinoma Cell Line,AsPC-1,Negative Selection,Knockout,unidirectional,17179,Steinhart Z (2017),27869803,train,935,935,0,14,"Fitness/Viability · Oral Squamous Cell Carcinoma · TUBB4B, LAS1L, PGK1"
32,149,decreases cell proliferation,Fitness / Proliferation / Viability,,Chronic Myeloid Leukemia Cell Line,KBM-7,Negative Selection,Knockout,unidirectional,18110,Wang T (2015),26472758,train,1873,1873,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
33,150,decreases cell proliferation,Fitness / Proliferation / Viability,,Chronic Myeloid Leukemia Cell Line,K-562,Negative Selection,Knockout,unidirectional,18110,Wang T (2015),26472758,train,1654,1654,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
34,151,decreases cell proliferation,Fitness / Proliferation / Viability,,Burkitt Lymphoma Cell Line,Jiyoye,Negative Selection,Knockout,unidirectional,18110,Wang T (2015),26472758,train,1628,1628,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
35,152,decreases cell proliferation,Fitness / Proliferation / Viability,,Burkitt Lymphoma Cell Line,Raji,Negative Selection,Knockout,unidirectional,18110,Wang T (2015),26472758,train,1462,1462,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
36,153,decreases cell proliferation,Fitness / Proliferation / Viability,,Pre-B Acute Lymphoblastic Leukemia Cell Line,NALM-6,Negative Selection,Knockout,unidirectional,18825,Bertomeu T (2017),29038160,train,2233,2233,0,9,"Fitness/Viability · Acute Myeloid Leukemia · SPDYE5, WASHC1, GOLGA8O"
37,154,decreases cell proliferation,Fitness / Proliferation / Viability,,Colonic Adenocarcinoma Cell Line,HT-29,Negative Selection,Knockout,unidirectional,17966,Tzelepis K (2016),27760321,train,2149,2149,0,12,"Fitness/Viability · Cancer · MRPS33, PDSS1, ISCA1"
38,155,decreases cell proliferation,Fitness / Proliferation / Viability,,Acute Myeloid Leukemia Cell Line,HL-60,Negative Selection,Knockout,unidirectional,17966,Tzelepis K (2016),27760321,train,1277,1277,0,14,"Fitness/Viability · Oral Squamous Cell Carcinoma · TUBB4B, LAS1L, PGK1"
39,156,decreases cell proliferation,Fitness / Proliferation / Viability,,Fibrosarcoma Cell Line,HT-1080,Negative Selection,Knockout,unidirectional,17966,Tzelepis K (2016),27760321,train,1729,1729,0,12,"Fitness/Viability · Cancer · MRPS33, PDSS1, ISCA1"
40,172,decreases BMP-2 signaling pathway activity as measured by decreased reporter expression,Molecular Output / Reporter / Pathway Activity, under Bone morphogenetic protein 2 (BMP-2) treatment,Embryonic Kidney Cell Line,HEK-293,Phenotype Screen,Knockout,unidirectional,18568,Riba A (2017),28215525,train,170,170,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
41,173,increases BMP-2 signaling activity as measured by increased reporter expression,Molecular Output / Reporter / Pathway Activity, under Bone morphogenetic protein 2 (BMP-2) treatment,Embryonic Kidney Cell Line,HEK-293,Phenotype Screen,Knockout,unidirectional,18568,Riba A (2017),28215525,train,176,176,0,3,"Drug/Chemical response · Retinal Pigment Epithelium · PDCD10, NF2, TAOK1"
42,174,decreases NFkB signaling as measured by reduced reporter expression,Molecular Output / Reporter / Pathway Activity, under Interleukin-1 β treatment (0.003 ng/mL),Embryonic Kidney Cell Line,HEK-293,Phenotype Screen,Knockout,unidirectional,18569,Riba A (2017),28215525,train,319,319,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
43,175,increases NFkB signaling activity as measured by increased NFkB reporter expression,Molecular Output / Reporter / Pathway Activity, under Interleukin-1 β treatment (0.003 ng/mL),Embryonic Kidney Cell Line,HEK-293,Phenotype Screen,Knockout,unidirectional,18569,Riba A (2017),28215525,train,171,171,0,25,"Reporter/Pathway activity · Chronic Myeloid Leukemia · ATG14, WIPI2, WDR45"
44,176,decreases NFkB signaling activity as measured by reporter expression,Molecular Output / Reporter / Pathway Activity, under Interleukin-1 β treatment (0.3 ng/mL),Embryonic Kidney Cell Line,HEK-293,Phenotype Screen,Knockout,unidirectional,18569,Riba A (2017),28215525,train,371,371,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
45,177,increases NFkB signaling activity as measured by increased NFkB reporter expression,Molecular Output / Reporter / Pathway Activity, under Interleukin-1 β treatment (0.3 ng/mL),Embryonic Kidney Cell Line,HEK-293,Phenotype Screen,Knockout,unidirectional,18569,Riba A (2017),28215525,train,111,111,0,25,"Reporter/Pathway activity · Chronic Myeloid Leukemia · ATG14, WIPI2, WDR45"
46,179,decreases cell proliferation,Fitness / Proliferation / Viability,,Osteosarcoma Cell Line,143B,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1964,1964,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
47,180,decreases cell proliferation,Fitness / Proliferation / Viability,,Urinary Bladder Cancer Cell Line,5637,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,2057,2057,0,13,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1"
48,181,decreases cell proliferation,Fitness / Proliferation / Viability,,Anaplastic Thyroid Cancer Cell Line,8305C,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1916,1916,0,5,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1"
49,184,decreases cell proliferation,Fitness / Proliferation / Viability,,Melanoma Cell Line,A2058,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1975,1975,0,5,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1"
50,185,decreases cell proliferation,Fitness / Proliferation / Viability,,Ovarian Cancer Cell Line,A2780,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,2075,2075,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
51,186,decreases cell proliferation,Fitness / Proliferation / Viability,,Lung Cancer Cell Line,A-549,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1940,1940,0,7,"Fitness/Viability · Neuroblastoma · GSTT2B, MTRNR2L8, ARGFX"
52,187,decreases cell proliferation,Fitness / Proliferation / Viability,,Gastric Adenocarcinoma Cell Line,AGS,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1996,1996,0,13,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1"
53,188,decreases cell proliferation,Fitness / Proliferation / Viability,,Breast Cancer Cell Line,AU565,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1902,1902,0,7,"Fitness/Viability · Neuroblastoma · GSTT2B, MTRNR2L8, ARGFX"
54,189,decreases cell proliferation,Fitness / Proliferation / Viability,,Oral Squamous Cell Carcinoma Cell Line,BHY,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1838,1838,0,5,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1"
55,190,decreases cell proliferation,Fitness / Proliferation / Viability,,Tongue Cancer Cell Line,CAL-27,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1986,1986,0,13,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1"
56,191,decreases cell proliferation,Fitness / Proliferation / Viability,,Ovarian Cancer Cell Line,Caov-3,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1674,1674,0,5,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1"
57,192,decreases cell proliferation,Fitness / Proliferation / Viability,,Glioblastoma Cell Line,YKG-1,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,2185,2185,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
58,193,decreases cell proliferation,Fitness / Proliferation / Viability,,Cancer Cell Line,YAPC,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1878,1878,0,5,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1"
59,194,decreases cell proliferation,Fitness / Proliferation / Viability,,Melanoma Cell Line,WM793,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1981,1981,0,5,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1"
60,195,decreases cell proliferation,Fitness / Proliferation / Viability,,Melanoma Cell Line,WM266-4,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,2083,2083,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
61,196,decreases cell proliferation,Fitness / Proliferation / Viability,,Melanoma Cell Line,WM115,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1581,1581,0,7,"Fitness/Viability · Neuroblastoma · GSTT2B, MTRNR2L8, ARGFX"
62,197,decreases cell proliferation,Fitness / Proliferation / Viability,,Melanoma Cell Line,UACC-62,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1909,1909,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
63,198,decreases cell proliferation,Fitness / Proliferation / Viability,,Melanoma Cell Line,UACC-257,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1755,1755,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
64,199,decreases cell proliferation,Fitness / Proliferation / Viability,,Lymphoma Cell Line,U-937,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,2373,2373,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
65,200,decreases cell proliferation,Fitness / Proliferation / Viability,,Glioblastoma Cell Line,U-87MG ATCC,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1554,1554,0,7,"Fitness/Viability · Neuroblastoma · GSTT2B, MTRNR2L8, ARGFX"
66,201,decreases cell proliferation,Fitness / Proliferation / Viability,,Glioma Cell Line,U-343MGa,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1945,1945,0,5,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1"
67,202,decreases cell proliferation,Fitness / Proliferation / Viability,,Osteosarcoma Cell Line,U2OS,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,2109,2109,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
68,203,decreases cell proliferation,Fitness / Proliferation / Viability,,Glioma Cell Line,U-251MG,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1984,1984,0,13,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1"
69,204,decreases cell proliferation,Fitness / Proliferation / Viability,,Renal Cell Carcinoma Cell Line,TUHR4TKB,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1656,1656,0,5,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1"
70,205,decreases cell proliferation,Fitness / Proliferation / Viability,,Renal Cell Carcinoma Cell Line,TUHR10TKB,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1243,1243,0,5,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1"
71,206,decreases cell proliferation,Fitness / Proliferation / Viability,,Monocytic Leukemia Cell Line,THP-1,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1921,1921,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
72,207,decreases cell proliferation,Fitness / Proliferation / Viability,,Glioblastoma Cell Line,8-MG-BA,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1744,1744,0,7,"Fitness/Viability · Neuroblastoma · GSTT2B, MTRNR2L8, ARGFX"
73,208,decreases cell proliferation,Fitness / Proliferation / Viability,,Glioblastoma Cell Line,42-MG-BA,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1947,1947,0,13,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1"
74,209,decreases cell proliferation,Fitness / Proliferation / Viability,,Ovarian Cancer Cell Line,59M,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1891,1891,0,5,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1"
75,210,decreases cell proliferation,Fitness / Proliferation / Viability,,Cancer Cell Line,639V,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1962,1962,0,13,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1"
76,211,decreases cell proliferation,Fitness / Proliferation / Viability,,Cancer Cell Line,647V,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1962,1962,0,13,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1"
77,212,decreases cell proliferation,Fitness / Proliferation / Viability,,Cancer Cell Line,769-P,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1944,1944,0,5,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1"
78,213,decreases cell proliferation,Fitness / Proliferation / Viability,,Renal Cell Carcinoma Cell Line,786-O,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,2095,2095,0,13,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1"
79,214,decreases cell proliferation,Fitness / Proliferation / Viability,,Lung Cancer Cell Line,ABC-1,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,2267,2267,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
80,215,decreases cell proliferation,Fitness / Proliferation / Viability,,Pancreatic Adenocarcinoma Cell Line,AsPC-1,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1875,1875,0,7,"Fitness/Viability · Neuroblastoma · GSTT2B, MTRNR2L8, ARGFX"
81,216,decreases cell proliferation,Fitness / Proliferation / Viability,,Urinary Bladder Cancer Cell Line,BC-3C,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,2063,2063,0,13,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1"
82,217,decreases cell proliferation,Fitness / Proliferation / Viability,,Cancer Cell Line,BFTC-905,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,2199,2199,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
83,218,decreases cell proliferation,Fitness / Proliferation / Viability,,Cancer Cell Line,BFTC-909,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1959,1959,0,5,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1"
84,219,decreases cell proliferation,Fitness / Proliferation / Viability,,Cancer Cell Line,BICR 22,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1914,1914,0,13,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1"
85,220,decreases cell proliferation,Fitness / Proliferation / Viability,,Mammary Gland Tumor Cell Line,BT-549,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,1982,1982,0,13,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1"
86,221,decreases cell proliferation,Fitness / Proliferation / Viability,,Pancreatic Ductal Adenocarcinoma Cell Line,CFPAC-1,Negative Selection,Knockout,unidirectional,17635,Meyers RM (2017),29083409,train,2058,2058,0,13,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1"
87,222,decreases cell proliferation,Fitness / Proliferation / Viability,,Breast Cancer Cell Line,ZR-75-1,Negative Selection,Knockout,unidirectional,17637,Meyers RM (2017),29083409,train,1976,1976,0,13,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1"
88,223,decreases cell proliferation,Fitness / Proliferation / Viability,,Melanoma Cell Line,WM983B,Negative Selection,Knockout,unidirectional,17637,Meyers RM (2017),29083409,train,1874,1874,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
89,224,decreases cell proliferation,Fitness / Proliferation / Viability,,Bladder Carcinoma,VM-CUB-1,Negative Selection,Knockout,unidirectional,17637,Meyers RM (2017),29083409,train,2085,2085,0,7,"Fitness/Viability · Neuroblastoma · GSTT2B, MTRNR2L8, ARGFX"
90,225,decreases cell proliferation,Fitness / Proliferation / Viability,,Bladder Transitional Cell Carcinoma Cell Line,UM-UC-3,Negative Selection,Knockout,unidirectional,17637,Meyers RM (2017),29083409,train,2041,2041,0,13,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1"
91,226,decreases cell proliferation,Fitness / Proliferation / Viability,,Medulloblastoma Cell Line,D283 Med,Negative Selection,Knockout,unidirectional,17637,Meyers RM (2017),29083409,train,1974,1974,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
92,227,decreases cell proliferation,Fitness / Proliferation / Viability,,Ovary Adenocarcinoma Cell Line,EFO-27,Negative Selection,Knockout,unidirectional,17637,Meyers RM (2017),29083409,train,2066,2066,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
93,228,decreases cell proliferation,Fitness / Proliferation / Viability,,Ovarian Cancer Cell Line,ES-2,Negative Selection,Knockout,unidirectional,17637,Meyers RM (2017),29083409,train,2172,2172,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
94,229,decreases cell proliferation,Fitness / Proliferation / Viability,,Meningioma Cell Line,F5,Negative Selection,Knockout,unidirectional,17637,Meyers RM (2017),29083409,train,2111,2111,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
95,230,decreases cell proliferation,Fitness / Proliferation / Viability,,Gastric Cancer Cell Line,Fu97,Negative Selection,Knockout,unidirectional,17637,Meyers RM (2017),29083409,train,1811,1811,0,1,"Fitness/Viability · Melanoma · C1QBP, NDUFA10, PET117"
96,232,decreases cell proliferation,Fitness / Proliferation / Viability,,Glioma Cell Line,H4,Negative Selection,Knockout,unidirectional,17637,Meyers RM (2017),29083409,train,1749,1749,0,5,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1"
97,233,decreases cell proliferation,Fitness / Proliferation / Viability,,Mammary Gland Tumor Cell Line,HCC1395,Negative Selection,Knockout,unidirectional,17637,Meyers RM (2017),29083409,train,1837,1837,0,5,"Fitness/Viability · Cancer · OR5K2, SDC1, NBEAL1"
