cluster,n_screens,name,dominant_phenotype,phenotype_frac,dominant_cell_type,dominant_screen_type,characteristic_genes
10,76,"Host-Pathogen/Infection · Cervical Adenocarcinoma · JAK2, STAT1, B2M",Host-Pathogen / Infection Response,0.46,Cervical Adenocarcinoma Cell Line,Positive Selection,"JAK2, STAT1, B2M, IFNAR1, STAT2, PXK, UBE2G1, CXCR4, IFNGR2, KCTD5"
11,66,"Host-Pathogen/Infection · Lung Adenocarcinoma · ACE2, TMPRSS2, RMC1",Host-Pathogen / Infection Response,0.8,Lung Adenocarcinoma Cell Line,Positive Selection,"ACE2, TMPRSS2, RMC1, SNX27, KDM6A, DAZAP2, AP1G1, LYSET, PRDM4, TRIM39-RPP21"
12,65,"Fitness/Viability · Cancer · MRPS33, PDSS1, ISCA1",Fitness / Proliferation / Viability,0.98,Cancer Cell Line,Negative Selection,"MRPS33, PDSS1, ISCA1, MRPL11, NDUFA3, LCE1F, LCE2C, EGR2, LCE2A, SLIRP"
13,57,"Fitness/Viability · Cancer · ZFP90, CHGA, ARRB1",Fitness / Proliferation / Viability,1.0,Cancer Cell Line,Negative Selection,"ZFP90, CHGA, ARRB1, NBEAL1, ETFB, ZNF317, SLC7A8, OR1J1, WSCD2, OR8D1"
14,54,"Fitness/Viability · Oral Squamous Cell Carcinoma · TUBB4B, LAS1L, PGK1",Fitness / Proliferation / Viability,0.81,Oral Squamous Cell Carcinoma Cell Line,Negative Selection,"TUBB4B, LAS1L, PGK1, MAD1L1, ZFX, ABCB7, PGGT1B, OGT, CTC1, GEMIN8"
15,52,"Drug/Chemical response · Lung Adenocarcinoma · TBC1D3D, CHURC1-FNTB, ZNF626",Drug / Chemical / Environmental Response,0.52,Lung Adenocarcinoma Cell Line,bidirectional,"TBC1D3D, CHURC1-FNTB, ZNF626, DNA2, LRRC37A, TBC1D3K, CCDC28A-AS1, DCAF1, SPDYE6, DUX4"
16,46,"Fitness/Viability · Cancer · IQCB1, UGT1A5, PPP3CB",Fitness / Proliferation / Viability,1.0,Cancer Cell Line,Negative Selection,"IQCB1, UGT1A5, PPP3CB, PHGR1, RGS13, FAM133A, IFNA4, ZNF431, MAP2K4, ATP5MJ"
17,36,"Reporter/Pathway activity · T cell · UBASH3A, FOXL2NB, FOXA3",Molecular Output / Reporter / Pathway Activity,0.58,T cell,bidirectional,"UBASH3A, FOXL2NB, FOXA3, LCP2, IKZF3, VAV1, PTPRC, CD28, ZAP70, MAP4K1"
18,34,"Fitness/Viability · Hepatoma · CDK11B, PRP4K, STK11",Fitness / Proliferation / Viability,0.76,Hepatoma Cell Line,Negative Selection,"CDK11B, PRP4K, STK11, CDK12, PRKDC, WNK1, AURKA, ATR, BUB1B, CDK7"
19,34,"Fitness/Viability · Cancer · LRRC2, PCDHGA4, IL1B",Fitness / Proliferation / Viability,1.0,Cancer Cell Line,Negative Selection,"LRRC2, PCDHGA4, IL1B, ZFP82, PCDHA1, GBGT1, AFM, TNFRSF13C, HID1, ZNF84"
20,29,"Fitness/Viability · Acute Myeloid Leukemia · FOXD4L1, FOXD4L5, ZZZ3",Fitness / Proliferation / Viability,0.79,Acute Myeloid Leukemia Cell Line,Negative Selection,"FOXD4L1, FOXD4L5, ZZZ3, FOXD4L6, ZNF143, NFYA, POU2F1, TTF1, THAP12, SP1"
21,27,"Drug/Chemical response · Chronic Myeloid Leukemia · PFKP, GOT1, G6PD",Drug / Chemical / Environmental Response,0.96,Chronic Myeloid Leukemia Cell Line,bidirectional,"PFKP, GOT1, G6PD, GPI, ATP5IF1, SFXN1, UCK2, PET117, HK2, PTCD2"
22,27,"Fitness/Viability · Cervical Adenocarcinoma · NEDD8-MDP1, CWC15, ZNF808",Fitness / Proliferation / Viability,0.78,Cervical Adenocarcinoma Cell Line,bidirectional,"NEDD8-MDP1, CWC15, ZNF808, EIF4ENIF1, CENPU, DNAAF2, SLC29A4, DNTTIP1, CNOT11, SLC30A1"
23,25,"Drug/Chemical response · Chronic Myeloid Leukemia · HPS5, TIMM23B, KICS2",Drug / Chemical / Environmental Response,0.96,Chronic Myeloid Leukemia Cell Line,bidirectional,"HPS5, TIMM23B, KICS2, DNASE1L1, ADPRM, STXBP4, GFI1B, CASP8AP2, MTMR9, HACD2"
24,22,"Reporter/Pathway activity · Embryonic Kidney · FEM1C, FEM1A, CUL2",Molecular Output / Reporter / Pathway Activity,0.73,Embryonic Kidney Cell Line,Phenotype Screen,"FEM1C, FEM1A, CUL2, ASB16, KLHDC3, APPBP2, FEM1B, METAP2, ZMYND11, SIAH1"
25,21,"Reporter/Pathway activity · Chronic Myeloid Leukemia · ATG14, WIPI2, WDR45",Molecular Output / Reporter / Pathway Activity,0.67,Chronic Myeloid Leukemia Cell Line,Phenotype Screen,"ATG14, WIPI2, WDR45, TBK1, BECN1, ATG9A, RB1CC1, ACP1, RAB1A, ATG13"
26,21,"Fitness/Viability · Cervical Adenocarcinoma · SIRT6, KDM3B, JMJD7",Fitness / Proliferation / Viability,0.52,Cervical Adenocarcinoma Cell Line,Negative Selection,"SIRT6, KDM3B, JMJD7, HIF1AN, KAT2A, SNAP47, TET3, KDM1A, PRMT7, EHMT2"
27,19,"Host-Pathogen/Infection · Lung Adenocarcinoma · ACE2, FOSL2, LY6E",Host-Pathogen / Infection Response,0.95,Lung Adenocarcinoma Cell Line,bidirectional,"ACE2, FOSL2, LY6E, SLC6A14, JADE3, HNF1B, BAZ1A, MUC4, LYN, RBMS1"
28,15,"Fitness/Viability · Non-Small Cell Lung Adenocarcinoma · MIR548I3, H2AB2, PTGES3L-AARSD1",Fitness / Proliferation / Viability,0.6,Non-Small Cell Lung Adenocarcinoma Cell Line,bidirectional,"MIR548I3, H2AB2, PTGES3L-AARSD1, IFNA13, MYO10, MIR4516, PLXNA1, FRYL, ZNF580, MIR5689"
29,15,"Fitness/Viability · Acute Myeloid Leukemia · TIMM50, CTDSPL2, PMM2",Fitness / Proliferation / Viability,0.8,Acute Myeloid Leukemia Cell Line,Negative Selection,"TIMM50, CTDSPL2, PMM2, PNKP, PPP6C, PTPMT1, PPP1CB, PTPN23, PPP2CA, PPP4C"
30,10,"Drug/Chemical response · Lung Adenocarcinoma · BGLAP, NTRK2, WNK3",Drug / Chemical / Environmental Response,0.4,Lung Adenocarcinoma Cell Line,bidirectional,"BGLAP, NTRK2, WNK3, LY96, COMP, CHRNA7, GABRG1, NGF, LRP1, RPS6KA2"
31,7,"Drug/Chemical response · Acute Myeloid Leukemia · TAS2R41, ZFR2, KRT26",Drug / Chemical / Environmental Response,0.86,Acute Myeloid Leukemia Cell Line,bidirectional,"TAS2R41, ZFR2, KRT26, PRAMEF33, B3GAT2, EML6, PAH, CHD6, GSR, FAM187B"
32,7,"Host-Pathogen/Infection · Huh-7 Cell · HHLA1, ABHD4, NIPAL4",Host-Pathogen / Infection Response,1.0,Huh-7 Cell,bidirectional,"HHLA1, ABHD4, NIPAL4, CLCN1, SLC46A1, VIM, SLC15A4, CAPN13, B4GAT1, CACNB1"
33,3,"Reporter/Pathway activity · Embryonic Kidney · MIR30E, MIR135B, MIR6765",Molecular Output / Reporter / Pathway Activity,1.0,Embryonic Kidney Cell Line,bidirectional,"MIR30E, MIR135B, MIR6765, MIR34C, MIR7152, MIR7703, MIR3175, MIR631, MIR3122, MIR4781"
34,3,Drug/Chemical response · Chronic Myelogenous Leukemia · TOP1,Drug / Chemical / Environmental Response,1.0,Chronic Myelogenous Leukemia Cell Line,Positive Selection,TOP1
35,2,Drug/Chemical response · Chronic Myeloid Leukemia · FDX1,Drug / Chemical / Environmental Response,1.0,Chronic Myeloid Leukemia Cell Line,Positive Selection,FDX1
